id,host,vulnerability,risk_score
b64048ad-00a3-485d-9d22-56eb3de9ec13,5.133.140.157,Insecure .net framework 4.0,94
79ed72ec-9b2a-41b1-9330-05ae27b1c415,237.22.69.187,Bind Shell Backdoor Detection,65
ab7400be-a36a-4d36-8196-b72622760252,112.16.39.54,Insecure .net framework 4.0,16
e14db419-3986-4a47-99b6-8113e176aff3,180.102.103.25,OpenSSL 1.0.2 < 1.0.2x Null Pointer Dereference Vulnerability,28
c37de403-250b-4e2b-9a4a-8db978ccd975,45.78.175.158,JBoss Java Object Deserialization RCE,10
bb5f43fd-537b-4476-bd4b-1990076a35f9,42.57.236.209,Unsupported Cisco Operating System,27
78ce5213-98ee-48a0-8728-df250a5a4c05,198.91.180.130,Apache ActiveMQ Detection,52
53fa962f-943b-4d19-be1e-fb30b09c331b,175.170.23.82,Insecure Apache version 2.2.15,34
b836448e-9dcc-4ad0-a1aa-0ed867e65f9c,141.228.196.167,NTMail3 Arbitrary Mail Relay,92
593063ab-80e2-49f4-ae9e-c6d246335dad,38.31.109.190,Oracle Error Log Found,2
cc231dab-3d5a-4a60-add6-087dca34e6a1,201.162.72.23,Apache Struts2 Remote Command Execution,81
831230d7-0de5-4fbc-a02d-92458a5be4c7,55.241.9.100,Temporary File Download,41
3c9c0723-d25a-4677-8159-1f5071f1d359,126.113.182.55,Unsupported Cisco Operating System,92
5b6f67e8-bbe9-455d-881e-216466cf0e4c,250.214.231.97,MailEnable WebMail Detection,12
1fe9f69d-3155-438e-ba8f-32556f7c7891,67.154.247.254,Oracle WebLogic Server Plug-in Remote Overflow (1166189),15
4615af20-f675-4502-9d2b-9e21e5ed9703,141.142.147.13,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),90
bfbbbdf1-155a-4bf4-b42c-4e553f138a72,120.62.59.184,Microsoft Windows 95/98/ME Unsupported Installation Detection,71
5d2a38a3-dab0-431f-9628-d45d4f514ea0,42.57.236.209,NTMail3 Arbitrary Mail Relay,77
cbda3e50-d549-4975-8f4b-18a0979880d9,45.104.33.10,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,72
fb62865c-da47-476e-836b-ef48cc557fce,126.113.182.55,JBoss Java Object Deserialization RCE,20
27fc15f3-8972-4bb2-8e61-254b18a98b25,167.57.156.22,Oracle WebLogic Server Plug-in Remote Overflow (1166189),51
b7493cfc-f2b1-49a0-ad22-acd86f128885,58.111.122.197,Insecure Kentico version 8.1 is running,98
159218eb-e7c5-45e9-8ad1-3feec5f9209b,37.46.227.136,Docker remote API detection,11
d96f5e06-3de8-4cef-85ad-ff55d25bb42c,231.113.228.43,NTMail3 Arbitrary Mail Relay,42
5d01ada0-0213-478a-a872-9171970fd458,27.154.20.223,Mozilla Firefox < 84.0,88
c2c61720-caac-4a1b-8654-5fd3a42e4153,13.159.59.220,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,99
829ee4da-db27-41a8-88e6-f12329e124d6,67.117.168.250,Apache ActiveMQ Detection,10
5d623f55-3134-4c53-85fe-43446f8909ee,233.195.3.250,Apache Struts2 Remote Command Execution,14
877e8b9f-fe16-4be6-8b86-d6d4eb544897,67.117.168.250,Insecure .net framework 4.0,73
db38d7c6-6545-4099-a4f5-c698e9188f80,182.40.254.174,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,67
797b65a5-e857-4eaa-ae7e-2e9be77c7ba5,47.61.89.232,Mozilla Firefox < 84.0,81
2ee294f1-e1ba-46cd-9ee8-23879f57c5a1,252.87.7.60,MailEnable WebMail Detection,17
3539c077-d80d-4020-8d44-68742ffe08c7,225.179.77.238,Oracle WebLogic Server mod_wl POST Request Remote Overflow,52
6924361c-9436-4f0f-a5fe-ba473ba6d4b3,133.65.176.198,NTMail3 Arbitrary Mail Relay,18
257ad89c-e929-4e5a-86e0-5468387cdb46,197.227.236.56,Exposure of Application source code, config files and credentials,83
9c253d58-3cb7-428d-8853-2a39ab483546,233.195.3.250,JBoss Java Object Deserialization RCE,27
4055ed24-ee62-41e7-9d07-7d2cc761b5bb,58.111.122.197,Mozilla Firefox ESR < 78.6,51
e493dfe3-fa5d-426a-89cf-01fb1f7f5cad,217.134.103.175,Oracle Error Log Found,10
e05d9d59-1777-40c3-9759-295583ebf81b,79.236.16.184,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),96
fe51412b-7dca-48f6-a940-83741b710648,54.180.150.99,Unsupported Cisco Operating System,98
fb527795-7286-4e6c-ad58-6df8b2ecaf92,197.23.26.94,JBoss Java Object Deserialization RCE,27
65654f74-0a76-425a-ac8b-1a02533a34b9,180.102.103.25,Oracle WebLogic Server Plug-in Remote Overflow (1166189),25
bf922a6b-273c-4dd0-856c-9188fd220573,54.180.150.99,Unsupported Cisco Operating System,78
c305e3f5-c6e4-4920-a11b-ad62937d9a60,141.142.147.13,Exposure of Application source code, config files and credentials,87
f882c3e0-0c28-40f0-8556-d34f3e867998,45.104.33.10,MailEnable WebMail Detection,99
a919db2c-4a8e-46bf-addf-143325df93df,142.213.113.99,Temporary File Download,14
8bc05f6b-7142-4ac1-8e01-189ac37e14e6,229.150.18.196,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,93
29371355-5cf3-4c8d-aca3-a5f80fc5ed09,19.50.38.199,Oracle WebLogic Server mod_wl POST Request Remote Overflow,1
66891043-63ef-41b7-92b2-3313664ca46b,83.116.69.102,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,43
536194cf-552a-42f1-8b35-895d23c70731,45.104.33.10,Mozilla Firefox < 84.0,71
48302dbd-b225-4599-bfd3-1e28aff47764,212.102.177.184,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,13
b6eea1e2-36a2-44bd-a02f-eca91f87fc7d,167.57.156.22,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),8
d49cf25c-b5bd-4fed-8302-278e48f7a78c,191.171.55.73,NTMail3 Arbitrary Mail Relay,2
d8b6de3a-a180-47e6-8b47-d23ebe4ca5c4,231.113.228.43,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,68
c7bc1edb-2a0a-4906-a082-c60c23f1b8d2,164.14.26.124,OpenSSL 1.0.2 < 1.0.2x Null Pointer Dereference Vulnerability,57
843e4d08-1abd-4867-9d23-17b0376cc133,126.36.151.232,MailEnable WebMail Detection,27
b69f5037-731f-4b5d-b290-c1a393226456,67.117.168.250,NTMail3 Arbitrary Mail Relay,29
e61fb258-9cf4-4603-b90d-ec6b39714a06,220.115.45.12,JBoss Java Object Deserialization RCE,14
ab7f53a4-2c88-457c-8f68-3c56c5d9414a,247.188.251.151,Docker remote API detection,35
7b5c9a3d-637f-41ff-8f52-d682377a1fd1,220.115.45.12,Temporary File Download,38
5bfede49-441e-4ebc-8ebc-53e7d06642ee,247.188.251.151,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,85
ab69be9e-5182-4a75-b8c5-f347df744b15,83.116.69.102,Apache Struts2 Remote Command Execution,54
5b50f835-4603-4da4-b3ca-f0abcdc9c302,145.171.136.33,MailEnable WebMail Detection,45
25641802-f2b8-450f-a7aa-26b5371a537a,6.161.15.9,KB4586823: Windows 8.1 and Windows Server 2012 R2 November 2020 Security Update,40
fb6a7a12-ae72-42c0-b04a-d8c04598723d,94.165.18.10,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,33
99d73893-e734-4a6a-bbbe-4f90bac36a27,211.184.178.166,Oracle WebLogic Server Plug-in Remote Overflow (1166189),26
5d4fd122-68d8-4981-ae3d-9bd5684383eb,141.228.196.167,Apache Struts2 Remote Command Execution,84
67193b1a-d103-40c3-83cf-8d23d5eb3d67,101.114.118.123,NTMail3 Arbitrary Mail Relay,61
80831f84-0230-4e52-a895-65e6044c86d8,250.162.228.163,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,87
457acb16-09bd-47b4-a716-ad61bdc0ed02,67.154.247.254,Unrestricted File Upload,41
5cef8007-ab1f-4874-a495-c0216edb08c3,154.145.164.49,Bind Shell Backdoor Detection,99
02bb998b-474e-4226-8561-6346ded07964,247.43.14.156,Oracle WebLogic Server mod_wl POST Request Remote Overflow,29
51f9713b-e32e-484e-ae13-dc6c792815ff,155.131.235.41,Exposure of Application source code, config files and credentials,72
0c4d86aa-4d94-4d1a-9a32-79ab8a7f288e,58.111.122.197,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),44
518ebe32-c035-4004-9f67-4816ff7254f5,75.1.229.101,Unsupported Cisco Operating System,91
4998d72e-2d16-4102-8f34-9d3f24fa2d10,47.155.151.168,Apache Struts2 Remote Command Execution,10
ada15dfc-d509-4d50-8fd5-7ac8d97861ea,203.241.141.8,Oracle WebLogic Server mod_wl POST Request Remote Overflow,93
e06734fd-7e04-4efe-9319-526a928a6619,67.117.168.250,MailEnable WebMail Detection,88
c9626ac5-756a-42c9-a78c-32a3f492073b,155.131.235.41,Bind Shell Backdoor Detection,59
02f4ebdc-fa70-41b2-a061-60699ef0756e,233.195.3.250,Exposure of Application source code, config files and credentials,76
001cfb12-895d-4901-a510-24b7c041e54d,197.227.236.56,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,22
c1cabe7c-5d00-4748-831e-a72c89791c45,220.115.45.12,Exposure of Application source code, config files and credentials,52
1ace924d-fc16-4308-8299-cb4ec40dc902,181.24.154.24,MailEnable WebMail Detection,76
98ae80e7-0693-4134-9f7a-cc844c70425e,146.147.171.162,Oracle WebLogic Server mod_wl POST Request Remote Overflow,28
dbeba1c7-cefd-4f97-a7c3-11fd3ce32294,142.213.113.99,MailEnable WebMail Detection,16
fa92941e-c57b-441a-b993-e1736ff8009d,181.21.80.77,Oracle WebLogic Server mod_wl POST Request Remote Overflow,86
d6c346df-2a63-4085-8580-407194f2cb4f,220.115.45.12,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,74
915a4881-4b38-4b46-ac12-8886f0b74bea,126.5.84.81,Oracle Error Log Found,95
9aa4b203-e75b-43e3-b8bd-7105329db2d8,191.171.55.73,Password Spraying Attack,65
b85e8dfd-52d4-4b8f-84c5-159f2fb73b3f,246.79.17.248,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,36
34241caf-3adc-4a35-9391-3e0a0ebc1c72,231.113.228.43,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),31
2199cf71-7c60-4a1c-b15d-2927a6d7be34,191.171.55.73,JBoss Java Object Deserialization RCE,30
ae457258-f78e-4a1f-bbf9-1e9ef1317cc3,197.227.236.56,JBoss Java Object Deserialization RCE,79
81b20116-dd8f-4276-931b-beb8d55f97b7,67.117.168.250,Account Takeover via Forgot Password,26
b1359581-6a8e-4109-903f-40f5cb81fac7,19.50.38.199,Oracle WebLogic Server mod_wl POST Request Remote Overflow,72
a5dd8fa9-15c9-4709-af25-465ce8cb6137,101.114.118.123,Insecure Apache version 2.2.15,98
f55eaeef-d2fa-45ad-bae2-bee94c85a9c5,180.102.103.25,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),71
21b8a6ec-97ff-426c-9353-a38e5f758ab8,27.147.81.61,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),56
b68ad2a2-96d3-4335-9cbe-b4b5df38de53,197.227.236.56,File Content Disclosure /etc/passwd,24
bb70e5a4-9418-4d2a-baa9-d422425de0a3,175.170.23.82,Brocade Fabric OS Default Credentials,51
80737123-ce74-41ae-a4b4-1cf2c20fb28e,83.116.69.102,Unsupported Cisco Operating System,6
fbd3ad2c-6f51-488e-a68e-464202c07e40,56.205.227.49,BSD Based FTP Server Multiple glob Function Remote Overflow,38
7dca69fe-2423-4ca2-94aa-28d53d290b28,95.81.122.187,Bind Shell Backdoor Detection,91
67ccd03e-438b-42d8-9588-26f1a4398f7a,26.196.44.255,Mozilla Firefox ESR < 78.6,28
d6814c6f-c2b5-4b95-a8c8-684858bbf04f,167.24.211.35,Mozilla Firefox ESR < 78.6,96
d1545841-c4c2-4e8f-bd02-7295ff4e970f,47.61.89.232,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),36
00682d81-37ec-4c4b-8308-e9239b807e50,55.38.105.171,Insecure Apache version 2.2.15,53
5e9156c1-970a-4a2c-949b-30b6f6d0c2de,252.87.7.60,OpenSSL 1.0.2 < 1.0.2x Null Pointer Dereference Vulnerability,89
047d7a90-dbb7-4873-8273-56e3a6c861e0,60.251.44.235,Unrestricted File Upload,14
0525842a-c306-4282-be3a-da6d8599c6f1,56.205.227.49,File Content Disclosure /etc/passwd,2
a02a873c-c5a6-498a-9e79-606ac5186d3f,75.1.229.101,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,90
3e7d2b6e-e3a1-4b46-b7f1-0111a3275b49,247.188.251.151,Bind Shell Backdoor Detection,14
40b6ac09-ed2c-4469-8390-a7b438e6a0b4,246.249.104.153,File Content Disclosure /etc/passwd,27
3e0a7f2d-ab28-47cd-9868-51628ed7554b,67.117.168.250,NTMail3 Arbitrary Mail Relay,69
f781768e-22c7-46a2-baac-bf0b922868df,138.12.72.25,Oracle WebLogic Server Plug-in Remote Overflow (1166189),95
c3e77e66-6d52-476f-88fc-64a194894779,246.249.104.153,Google Chrome < 87.0.4280.88 Multiple Vulnerabilities,61
54e55bbc-5366-4a9a-87cc-071a05a821ab,225.179.77.238,BSD Based FTP Server Multiple glob Function Remote Overflow,40
6ec7e944-c44f-491e-aa46-6ca3fb2092de,203.241.141.8,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,41
fa6cc31b-062c-45b4-a511-66bd1d284646,121.211.230.69,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,75
59eb5e62-c5f0-4e91-a2d0-37e35cc32ccc,141.142.147.13,Account Takeover via Forgot Password,1
badc7eb7-b508-4a19-af3f-370badda63b3,2.128.80.100,Oracle WebLogic Server Plug-in Remote Overflow (1166189),85
15399518-1f1f-402c-aeb8-ab65c4df5350,60.251.44.235,Google Chrome < 87.0.4280.88 Multiple Vulnerabilities,58
49a563f7-c50e-46be-a584-504f83487483,5.133.140.157,JBoss Java Object Deserialization RCE,60
6a39cfd8-76da-4fc4-8924-28fc4164ef5d,2.128.80.100,Docker remote API detection,12
6e50efb4-fd90-4928-a7b0-1226a9a456ec,27.147.81.61,KB4586823: Windows 8.1 and Windows Server 2012 R2 November 2020 Security Update,44
cb79910c-983e-48aa-b3a9-6769838e9fdb,233.195.3.250,Apache Struts2 Remote Command Execution,14
e823e743-c002-45db-aa08-6dc3b823d7b6,84.114.78.176,NTMail3 Arbitrary Mail Relay,11
92437345-8c65-4836-b582-06e62dfab9f6,167.57.156.22,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,56
3a0551cf-63d3-4535-85a5-055a14efc133,179.86.225.227,Google Chrome < 87.0.4280.88 Multiple Vulnerabilities,36
fed0d553-6723-48b7-957d-a3d99365e457,154.145.164.49,Brocade Fabric OS Default Credentials,35
bf2a96a5-e43d-433f-8567-64d8de30ca6a,191.171.55.73,KB4586823: Windows 8.1 and Windows Server 2012 R2 November 2020 Security Update,9
85864d9c-f730-480b-b969-6571e5d8ae8e,250.214.231.97,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,26
ca0060e6-d68e-442a-bd6f-d57957443ef0,75.138.147.132,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),1
d355a64d-5405-4432-bc25-c61359367c60,41.254.253.138,Insecure .net framework 4.0,83
d45ee45a-f09a-4f63-a907-adbd0b8794cf,244.138.124.30,Bind Shell Backdoor Detection,66
7c9bcba8-2a1e-48bc-8068-f975013e1811,247.43.14.156,KB4586823: Windows 8.1 and Windows Server 2012 R2 November 2020 Security Update,64
eec3926e-8f25-4d24-9cfc-84480f7a1053,37.46.227.136,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,63
b5a2ed68-21aa-40bc-bcc1-3683b33e1603,56.205.227.49,Oracle WebLogic Server Plug-in Remote Overflow (1166189),20
7d90d922-0e34-4d5e-88e1-97d7cf542c15,41.254.253.138,Password Spraying Attack,37
c8de1e2d-8e7b-4f87-a2c4-e9fc46beea62,191.171.55.73,Exposure of Application source code, config files and credentials,37
8a46826b-d7f4-4227-9885-cbca6da0a7a5,167.24.211.35,JBoss Java Object Deserialization RCE,58
aaa96dcf-3161-450d-b0f0-37bd70eb4bfd,94.155.9.209,Oracle Error Log Found,21
3e66b3fd-8a62-4bbb-93a1-3f40d664482e,79.236.16.184,Unsupported Cisco Operating System,69
e33f44e4-e9a3-4f98-a09e-e36cd818a808,126.5.84.81,KB4586823: Windows 8.1 and Windows Server 2012 R2 November 2020 Security Update,94
1c18204e-500a-4c76-b05b-e8ffa651e957,36.255.40.37,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,68
05e888ac-9f65-4bf6-b82b-7de5dc7987f1,45.78.175.158,Oracle WebLogic Server Plug-in Remote Overflow (1166189),34
3ae5d3e1-9dcb-4c78-8213-5ced2ad12b86,42.57.236.209,MailEnable WebMail Detection,25
ebccd614-9ab4-4fc9-b4e2-e48b615cf4cf,175.170.23.82,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,32
2208b8de-902c-44c5-90e1-f6721e380ca4,19.50.38.199,Oracle Error Log Found,49
c4966d12-55b3-4117-834d-9b546065553f,252.87.7.60,Bind Shell Backdoor Detection,14
6196682f-89bf-46f7-9d83-0a77bdf436ce,197.227.236.56,Google Chrome < 87.0.4280.88 Multiple Vulnerabilities,67
440f7547-1ef6-42f1-bfb2-017a1b539daf,181.179.110.69,KB4586823: Windows 8.1 and Windows Server 2012 R2 November 2020 Security Update,96
af392a18-f0a3-4747-8178-72c5225b97a7,107.16.154.116,Insecure .net framework 4.0,47
169587f1-1ec7-4383-8404-09e7c44c0acd,27.154.20.223,Insecure .net framework 4.0,61
ac589cfb-bb47-4786-a2d9-e0b6c72e46c3,5.133.140.157,Insecure Kentico version 8.1 is running,10
fe0102c3-6690-455a-ac89-0fee5f1a31d2,181.24.154.24,Oracle WebLogic Server Plug-in Remote Overflow (1166189),36
e4d934d7-e0f9-47b5-b288-f993a97d4b25,55.241.9.100,Password Spraying Attack,27
ea7ccfd0-9ab0-4d21-aaa3-7baf4cfc5d1b,141.228.196.167,Mozilla Firefox < 84.0,70
7f4d7210-f329-4788-a3ab-d0f89b6b0998,47.155.151.168,Google Chrome < 87.0.4280.88 Multiple Vulnerabilities,76
6fb4a8dd-c036-4210-a522-29ec8044bfe8,79.236.16.184,Exposure of Application source code, config files and credentials,46
285579cc-ea49-4a71-9eab-27dc6724c18d,27.147.81.61,Account Takeover via Forgot Password,75
9e24fdd2-67b9-4372-89b1-8652ec5e51e5,198.91.180.130,Docker remote API detection,92
20a07798-c3de-44da-a07e-14c66ab5b0d3,47.155.151.168,NTMail3 Arbitrary Mail Relay,51
6ce5b143-c01f-40c6-8194-ac7fc97e0cbb,67.154.247.254,Exposure of Application source code, config files and credentials,59
74aed436-fa86-4aab-a265-a48d252e0f3b,244.138.124.30,Oracle WebLogic Server Plug-in Remote Overflow (1166189),13
ab1d2250-4a3e-4f46-a40e-08ca5d0993bd,181.179.110.69,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,73
d592c959-fc3c-4acb-b951-cded4046549d,169.185.46.18,Bind Shell Backdoor Detection,80
a1823654-4b61-4f8c-91fa-571dddd7a9fc,5.133.140.157,Brocade Fabric OS Default Credentials,49
e032e53c-9504-4489-901b-d507a5d7eadb,241.6.180.138,Apache Struts2 Remote Command Execution,71
ff3e075e-8d33-4b6f-b819-58e42b47b63d,247.188.251.151,Microsoft Windows 95/98/ME Unsupported Installation Detection,19
a77050bc-ebe4-43c8-817e-e9243973ead4,247.188.251.151,Brocade Fabric OS Default Credentials,83
548eb6db-3733-4378-9f98-4c68728ac91a,51.168.253.103,JBoss Java Object Deserialization RCE,15
4f0f02c5-28f1-45e7-abf4-48f4b3213654,74.191.153.67,Microsoft Windows 95/98/ME Unsupported Installation Detection,24
4a8e61a0-191d-4f8c-b683-16f9c83a048a,197.227.236.56,Mozilla Firefox ESR < 78.6,70
b577037e-6afd-4146-be7f-e7c8b9fe36be,45.78.175.158,Exposure of Application source code, config files and credentials,3
ea0f3500-d965-4658-9b71-dad814e6ee8c,203.241.141.8,Exposure of Application source code, config files and credentials,14
eee6a9bd-a928-4460-a061-dddcef7694d3,246.249.104.153,Docker remote API detection,66
d22cf308-a5ca-40fc-bf64-353c247c198f,54.180.150.99,Unrestricted File Upload,16
f121ee1c-c5e3-41b0-a269-61734d7a2c56,121.211.230.69,Mozilla Firefox ESR < 78.6,6
b503b86a-d4da-4313-8edc-e42429220621,211.184.178.166,Docker remote API detection,94
0902ea9c-988b-4b03-963e-47c099073be7,112.16.39.54,Unrestricted File Upload,60
202f7949-66a6-4749-bee5-c8a477e7a919,154.13.22.62,NTMail3 Arbitrary Mail Relay,44
8a817518-1add-4ad4-b153-5ff2d8d46ff0,217.134.103.175,Unsupported Cisco Operating System,1
828adfc7-90df-4d7e-8772-793e7aa7eea6,67.117.168.250,Mozilla Firefox < 84.0,95
870b030f-110d-4944-bf1a-6ee411e18430,175.170.23.82,MailEnable WebMail Detection,9
f4c475ff-0ee2-4855-ad44-ce7b912e6b82,36.255.40.37,File Content Disclosure /etc/passwd,87
6abca8ec-460a-4042-91df-dce111a0cd54,225.179.77.238,Mozilla Firefox < 84.0,85
e90112d6-3814-4b5f-9adc-dd5782c6923d,47.61.89.232,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,2
6e8bdec5-9bd3-49c2-9424-7644ec4518a6,45.104.33.10,Oracle Error Log Found,85
03355213-d74b-49f8-9c80-4b667d765bc6,155.131.235.41,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,99
e5e7e998-94ac-48cc-a591-16181bfd022a,181.24.154.24,Apache Struts2 Remote Command Execution,86
d473cc15-31ca-4785-9e26-dc313ea81d60,175.170.23.82,BSD Based FTP Server Multiple glob Function Remote Overflow,24
414e593f-53f2-49a8-9cce-98f11a5f079d,233.195.3.250,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,18
63923bfe-a839-42f5-a914-dedf079ef086,141.228.196.167,Unsupported Cisco Operating System,75
1528523c-b576-4547-b826-0a22c8e4fe8b,197.23.26.94,Oracle Error Log Found,23
005f6a2c-88d6-4b93-8351-8942813f981d,55.241.9.100,BSD Based FTP Server Multiple glob Function Remote Overflow,13
28963d29-5aaa-4c5f-bc11-2b9f0bb56826,237.22.69.187,Microsoft Windows 95/98/ME Unsupported Installation Detection,77
e595fe0d-9c69-41a5-adc2-59bc4b2ab688,126.36.151.232,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,79
0263f4a5-53b0-43ce-b41e-196c7f5f5af8,84.114.78.176,BSD Based FTP Server Multiple glob Function Remote Overflow,15
b98b4b96-fd91-4c48-bcdb-9b1dc34fc1c8,13.159.59.220,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),5
438d5153-9f60-4384-a35f-8729bf2305a8,47.155.151.168,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),42
66a9c32f-c30b-4a0b-aebc-627c6f787112,182.40.254.174,Apache Struts2 Remote Command Execution,29
f83c1977-4b21-484e-9029-f90fea455fb4,120.62.59.184,Oracle WebLogic Server Plug-in Remote Overflow (1166189),25
a9bfcfe2-e751-490c-a6a6-f58c34c635d5,250.162.228.163,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,10
db05cdf1-d79c-474b-b765-7ea08026892e,205.94.93.59,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,99
2d00ffb7-b657-41e5-a7fc-a31a66ffb439,60.251.44.235,Bind Shell Backdoor Detection,64
0eed9130-c090-45d9-af6f-a94868434aa1,181.21.80.77,Unrestricted File Upload,84
a95e6275-42f6-4fd8-8ad0-01e9d47c0a95,67.117.168.250,Unrestricted File Upload,64
5e741197-adf2-44e3-981d-7eba2d5c3aca,45.104.33.10,Brocade Fabric OS Default Credentials,72
d6c6e526-016a-4f6d-9d89-ca63f24769ae,13.159.59.220,OpenSSL 1.0.2 < 1.0.2x Null Pointer Dereference Vulnerability,40
f0652423-fbe5-42b2-8d65-92b987a131f0,38.31.109.190,MailEnable WebMail Detection,63
243354ab-1bc8-4212-aa93-7432638b42d7,217.134.103.175,Oracle Error Log Found,82
6581c701-7c4f-4c4f-b44e-604c7d754791,246.249.104.153,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),72
ef43d0fd-a721-465e-b7fb-1a425622aac4,233.195.3.250,Bind Shell Backdoor Detection,17
